Player_id,player_name,base_price,category,set_number,accelerated_list,is_overseas
1,Josh Hazlewood,2.0,BOWL,1,0,True
2,Varun Chakravarthy,2.0,BOWL,1,0,False
3,Jasprit Bumrah,2.0,BOWL,1,0,False
4,Trent Boult,2.0,BOWL,1,0,True
5,Noor Ahmad,2.0,BOWL,1,0,False
6,Arshdeep Singh,2.0,BOWL,1,0,False
7,Prasidh Krishna,2.0,BOWL,1,0,False
8,Marco Jansen,2.0,BOWL,1,0,True
9,Mitchell Starc,2.0,BOWL,1,0,True
10,Mohammed Siraj,2.0,BOWL,1,0,False
11,Kuldeep Yadav,2.0,BOWL,1,0,False
12,Bhuvneshwar Kumar,2.0,BOWL,1,0,False
13,Harshit Rana,2.0,BOWL,1,0,False
14,Jofra Archer,2.0,BOWL,1,0,True
15,Mohammed Shami,2.0,BOWL,1,0,False
16,Kagiso Rabada,1.5,BOWL,1,0,True
17,Nathan Ellis,1.5,BOWL,1,0,True
18,Akash Deep,1.5,BOWL,1,0,False
19,Sai Kishore,1.5,BOWL,1,0,False
20,Vaibhav Arora,1.5,BOWL,1,0,False
21,Yuzvendra Chahal,1.5,BOWL,1,0,False
22,Matheesha Pathirana,1.5,BOWL,1,0,True
23,Digvesh Rathi,1.5,BOWL,1,0,False
24,Khaleel Ahmed,1.5,BOWL,1,0,False
25,Vipraj Nigam,1.5,BOWL,1,0,False
26,Suryakumar Yadav,2.0,BAT,2,0,False
27,Shreyas Iyer,2.0,BAT,2,0,False
28,Virat Kohli,2.0,BAT,2,0,False
29,Travis Head,2.0,BAT,2,0,True
30,Sai Sudharsan,2.0,BAT,2,0,False
31,Shubman Gill,2.0,BAT,2,0,False
32,Aiden Markram,2.0,BAT,2,0,False
33,Rohit Sharma,2.0,BAT,2,0,False
34,Yashasvi Jaiswal,2.0,BAT,2,0,False
35,Tilak Varma,2.0,BAT,2,0,False
36,Ruturaj Gaikwad,2.0,BAT,2,0,False
37,Shimron Hetmyer,2.0,BAT,2,0,True
38,Rajat Patidar,2.0,BAT,2,0,True
39,Finn Allen,2.0,BAT,2,0,True
40,Tristan Stubbs,2.0,BAT,2,0,True
41,Tim David,2.0,BAT,2,0,True
42,Rinku Singh,2.0,BAT,2,0,False
43,Dewald Brevis,2.0,BAT,2,0,True
44,David Miller,2.0,BAT,2,0,True
45,Pathum Nissanka,2.0,BAT,2,0,True
46,Abhishek Sharma,2.0,AR,3,0,False
47,Sunil Narine,2.0,AR,3,0,True
48,Mitchell Marsh,2.0,AR,3,0,True
49,Cameron Green,2.0,AR,3,0,True
50,Sam Curran,2.0,AR,3,0,True
51,Hardik Pandya,2.0,AR,3,0,False
52,Krunal Pandya,2.0,AR,3,0,False
53,Pat Cummins,2.0,AR,3,0,True
54,Ravindra Jadeja,2.0,AR,3,0,False
55,Axar Patel,2.0,AR,3,0,True
56,Riyan Parag,2.0,AR,3,0,False
57,Mitchell Santner,2.0,AR,3,0,True
58,Shivam Dube,2.0,AR,3,0,False
59,Washington Sundar,2.0,AR,3,0,False
60,Glenn Phillips,2.0,AR,3,0,True
61,Rashid Khan,2.0,AR,3,0,True
62,Nitish Kumar Reddy,2.0,AR,3,0,True
63,Azmatullah Omarzai,2.0,AR,3,0,True
64,Marcus Stoinis,2.0,AR,3,0,True
65,Venkatesh Iyer,2.0,AR,3,0,False
66,Jos Buttler,2.0,WK,4,0,True
67,Heinrich Klaasen,2.0,WK,4,0,True
68,KL Rahul,2.0,WK,4,0,False
69,Nicholas Pooran,2.0,WK,4,0,True
70,Ishan Kishan,2.0,WK,4,0,False
71,Ryan Rickelton,2.0,WK,4,0,False
72,Phil Salt,2.0,WK,4,0,False
73,Sanju Samson,2.0,WK,4,0,True
74,Tim Seifert,2.0,WK,4,0,True
75,Rishabh Pant,2.0,WK,4,0,False
76,Deepak Chahar,1.0,BOWL,5,0,False
77,Shardul Thakur,1.0,BOWL,5,0,False
78,Suyash Sharma,1.0,BOWL,5,0,False
79,Jaydev Unadkat,1.0,BOWL,5,0,False
80,Yash Dayal,1.0,BOWL,5,0,False
81,Harpreet Brar,1.0,BOWL,5,0,False
82,Mukesh Kumar,1.0,BOWL,5,0,False
83,Avesh Khan,1.0,BOWL,5,0,False
84,Ravi Bishnoi,1.0,BOWL,5,0,False
85,Eshan Malinga,1.0,BOWL,5,0,False
86,Rasikh Salam,1.0,BOWL,5,0,False
87,Tushar Deshpande,1.0,BOWL,5,0,False
88,Xavier Bartlett,1.0,BOWL,5,0,True
89,Lockie Ferguson,1.0,BOWL,5,0,True
90,Sandeep Sharma,1.0,BOWL,5,0,False
91,T Natarajan,1.0,BOWL,5,0,False
92,Nandre Burger,1.0,BOWL,5,0,True
93,Umran Malik,1.0,BOWL,5,0,False
94,Lungi Ngidi,1.0,BOWL,5,0,True
